tick,node,drive,phase_tick,coherence,energy,phase,pathway
13,25,0,14,0,0,free,free_pool
13,26,0,14,0,0,free,free_pool
13,27,0,14,0,0,free,free_pool
13,28,0,14,0,0,free,free_pool
13,29,0,14,0,0,free,free_pool
13,30,0,14,0,0,free,free_pool
13,31,0,14,0,0,free,free_pool
14,0,0,15,0,0,free,free_pool
14,1,0,15,0,0,free,free_pool
14,2,0,15,0,0,free,free_pool
14,3,0,15,0,0,free,free_pool
14,4,0,15,0,0,free,free_pool
14,5,0,15,0,0,free,free_pool
14,6,0,15,0,0,free,free_pool
14,7,0,15,0,0,free,free_pool
14,8,0,15,0,0,free,free_pool
14,9,0,15,0,0,free,free_pool
14,10,0,15,0,0,free,free_pool
14,11,0,15,0,0,free,free_pool
14,12,0,15,0,0,free,free_pool
14,13,0,15,0,0,free,free_pool
14,14,0,15,0,0,free,free_pool
14,15,1,15,3,1,formation,depression_consumption
14,16,0,15,1,1,formation,depression_consumption
14,17,0,15,0,1,free,free_pool
14,18,0,15,0,0,free,free_pool
14,19,0,15,0,0,free,free_pool
14,20,0,15,0,0,free,free_pool
14,21,0,15,0,0,free,free_pool
14,22,0,15,0,0,free,free_pool
14,23,0,15,0,0,free,free_pool
14,24,0,15,0,0,free,free_pool
14,25,0,15,0,0,free,free_pool
14,26,0,15,0,0,free,free_pool
14,27,0,15,0,0,free,free_pool
14,28,0,15,0,0,free,free_pool
14,29,0,15,0,0,free,free_pool
14,30,0,15,0,0,free,free_pool
14,31,0,15,0,0,free,free_pool
15,0,0,16,0,0,free,free_pool
15,1,0,16,0,0,free,free_pool
15,2,0,16,0,0,free,free_pool
15,3,0,16,0,0,free,free_pool
15,4,0,16,0,0,free,free_pool
15,5,0,16,0,0,free,free_pool
15,6,0,16,0,0,free,free_pool
15,7,0,16,0,0,free,free_pool
15,8,0,16,0,0,free,free_pool
15,9,0,16,0,0,free,free_pool
15,10,0,16,0,0,free,free_pool
15,11,0,16,0,0,free,free_pool
15,12,0,16,0,0,free,free_pool
15,13,0,16,0,0,free,free_pool
15,14,1,16,3,1,formation,depression_consumption
15,15,0,16,1,1,formation,depression_consumption
15,16,0,16,0,1,free,free_pool
15,17,0,16,0,0,free,free_pool
15,18,0,16,0,0,free,free_pool
15,19,0,16,0,0,free,free_pool
15,20,0,16,0,0,free,free_pool
15,21,0,16,0,0,free,free_pool
